id,name,description,sku,price,stock_quantity,weight,status,vendor_id,low_stock_threshold,min_order_quantity,average_rating,total_reviews,thumbnail_url,image_urls,is_active,discount_value,created_at,updated_at
19,KitchenAid Stand Mixer,Description of KitchenAid Stand Mixer,SKU0019,18.45,692,3.85,DRAFT,6,16,5,1.19,992,https://example.com/thumb_19.jpg,https://example.com/images/product_19.jpg,1,15.77,2024-10-08 18:15:28.497426,2024-02-19 23:56:10.530429
20,LG Smart Fridge,Description of LG Smart Fridge,SKU0020,42.37,533,9.57,INACTIVE,8,16,5,2.24,116,https://example.com/thumb_20.jpg,https://example.com/images/product_20.jpg,0,6.86,2024-03-22 18:18:47.097228,2024-09-17 17:09:16.752127
21,Think and Grow Rich,Description of Think and Grow Rich,SKU0021,36.61,985,7.7,ACTIVE,6,7,5,1.84,854,https://example.com/thumb_21.jpg,https://example.com/images/product_21.jpg,1,11.81,2023-12-01 20:20:21.107167,2024-12-10 08:19:22.556105
22,The Alchemist by Paulo Coelho,Description of The Alchemist by Paulo Coelho,SKU0022,27.18,338,4.48,ACTIVE,8,13,3,4.52,938,https://example.com/thumb_22.jpg,https://example.com/images/product_22.jpg,1,1.49,2023-11-22 07:03:29.862248,2023-02-13 23:01:01.621540
23,Samsung Galaxy S22 Ultra,Description of Samsung Galaxy S22 Ultra,SKU0023,54.0,157,1.7,ACTIVE,3,17,4,1.7,677,https://example.com/thumb_23.jpg,https://example.com/images/product_23.jpg,1,9.75,2023-03-03 21:09:05.738432,2024-10-06 10:25:31.501499
24,Apple MacBook Air M2,Description of Apple MacBook Air M2,SKU0024,72.28,525,1.67,DRAFT,2,6,1,1.95,565,https://example.com/thumb_24.jpg,https://example.com/images/product_24.jpg,0,0.23,2024-07-01 00:48:37.085933,2023-05-01 23:04:00.862867
25,HP Envy x360 Laptop,Description of HP Envy x360 Laptop,SKU0025,17.26,655,1.49,INACTIVE,1,4,3,1.26,487,https://example.com/thumb_25.jpg,https://example.com/images/product_25.jpg,1,12.13,2024-09-22 02:59:58.163626,2023-09-14 02:13:34.228949
26,Dell XPS 13,Description of Dell XPS 13,SKU0026,16.18,514,3.6,DRAFT,7,15,1,3.69,246,https://example.com/thumb_26.jpg,https://example.com/images/product_26.jpg,0,10.45,2024-10-20 22:04:29.419068,2023-08-12 20:49:50.033402
27,Logitech MX Master 3 Mouse,Description of Logitech MX Master 3 Mouse,SKU0027,48.65,266,2.76,ACTIVE,4,1,2,1.41,21,https://example.com/thumb_27.jpg,https://example.com/images/product_27.jpg,1,17.09,2024-12-29 20:16:44.607163,2024-12-19 09:02:05.389073
28,Razer BlackWidow Keyboard,Description of Razer BlackWidow Keyboard,SKU0028,36.7,665,4.4,ACTIVE,10,17,3,3.33,738,https://example.com/thumb_28.jpg,https://example.com/images/product_28.jpg,0,20.24,2024-01-10 18:22:52.730794,2024-07-10 17:25:40.603099
29,ASUS ROG Strix GPU,Description of ASUS ROG Strix GPU,SKU0029,8.53,645,9.05,DRAFT,10,8,5,1.17,421,https://example.com/thumb_29.jpg,https://example.com/images/product_29.jpg,0,24.13,2023-07-10 02:21:42.652514,2023-06-08 08:37:05.526099
30,MSI Gaming Laptop,Description of MSI Gaming Laptop,SKU0030,22.17,312,9.26,INACTIVE,2,7,5,1.06,338,https://example.com/thumb_30.jpg,https://example.com/images/product_30.jpg,0,24.53,2024-09-20 10:23:21.466170,2023-12-11 09:50:22.590347
31,Apple iPad Pro,Description of Apple iPad Pro,SKU0031,8.94,147,7.87,INACTIVE,5,19,3,2.11,77,https://example.com/thumb_31.jpg,https://example.com/images/product_31.jpg,1,2.66,2024-05-25 11:43:45.275029,2024-10-30 18:47:55.290699
32,Xiaomi Pad 5,Description of Xiaomi Pad 5,SKU0032,10.21,706,9.63,ACTIVE,8,3,4,3.66,797,https://example.com/thumb_32.jpg,https://example.com/images/product_32.jpg,1,12.86,2024-04-19 04:37:47.020302,2023-09-19 13:26:30.956093
33,GoPro Hero11,Description of GoPro Hero11,SKU0033,57.57,727,5.96,DRAFT,3,19,5,3.31,288,https://example.com/thumb_33.jpg,https://example.com/images/product_33.jpg,1,21.06,2024-01-19 00:20:13.522575,2023-12-31 04:22:53.430067
34,DJI Mini 3 Drone,Description of DJI Mini 3 Drone,SKU0034,82.88,509,1.36,DRAFT,8,4,1,4.1,648,https://example.com/thumb_34.jpg,https://example.com/images/product_34.jpg,1,25.79,2024-12-10 23:02:08.494602,2024-05-07 05:58:02.871809
35,Canon PIXMA Printer,Description of Canon PIXMA Printer,SKU0035,96.19,982,7.02,ACTIVE,5,17,1,3.67,775,https://example.com/thumb_35.jpg,https://example.com/images/product_35.jpg,1,12.44,2023-10-24 17:16:32.458146,2023-04-25 23:22:06.407608
36,OnePlus Nord CE 3 Lite,Description of OnePlus Nord CE 3 Lite,SKU0036,51.13,725,9.54,ACTIVE,1,3,3,3.99,480,https://example.com/thumb_36.jpg,https://example.com/images/product_36.jpg,1,28.8,2023-12-25 08:52:31.566193,2024-09-11 08:26:59.117712
37,Nike Air Max 270,Description of Nike Air Max 270,SKU0037,78.86,838,2.22,ACTIVE,3,9,5,4.18,220,https://example.com/thumb_37.jpg,https://example.com/images/product_37.jpg,0,7.23,2024-11-07 17:24:42.294745,2023-07-10 11:13:55.133278
38,Adidas Ultraboost,Description of Adidas Ultraboost,SKU0038,47.68,484,9.07,INACTIVE,10,8,4,4.22,515,https://example.com/thumb_38.jpg,https://example.com/images/product_38.jpg,0,2.55,2024-08-01 04:34:04.500589,2023-07-04 09:00:33.460891
39,MAC Matte Lipstick,Description of MAC Matte Lipstick,SKU0039,22.45,727,7.4,DRAFT,4,5,2,4.36,177,https://example.com/thumb_39.jpg,https://example.com/images/product_39.jpg,0,21.35,2024-07-20 23:54:00.753368,2024-02-07 21:35:32.553270
40,Philips Blender,Description of Philips Blender,SKU0040,20.45,116,5.03,DRAFT,8,13,4,3.5,92,https://example.com/thumb_40.jpg,https://example.com/images/product_40.jpg,1,28.91,2024-07-25 13:12:35.026151,2024-09-11 00:12:46.965079
41,KitchenAid Stand Mixer,Description of KitchenAid Stand Mixer,SKU0041,57.33,406,6.93,ACTIVE,10,17,3,2.29,256,https://example.com/thumb_41.jpg,https://example.com/images/product_41.jpg,1,12.33,2024-01-15 04:15:44.221802,2023-10-02 14:02:14.604339
42,LG Smart Fridge,Description of LG Smart Fridge,SKU0042,98.82,437,9.57,DRAFT,10,8,4,3.93,530,https://example.com/thumb_42.jpg,https://example.com/images/product_42.jpg,0,9.37,2024-07-15 12:01:43.727538,2024-10-23 04:52:27.374223
43,Think and Grow Rich,Description of Think and Grow Rich,SKU0043,89.07,522,2.43,INACTIVE,2,13,5,1.24,481,https://example.com/thumb_43.jpg,https://example.com/images/product_43.jpg,1,12.93,2024-09-25 15:11:38.794653,2024-01-04 00:47:47.193099
44,The Alchemist by Paulo Coelho,Description of The Alchemist by Paulo Coelho,SKU0044,58.69,469,8.7,ACTIVE,8,14,5,4.61,608,https://example.com/thumb_44.jpg,https://example.com/images/product_44.jpg,0,27.52,2023-09-23 02:16:50.666744,2024-11-27 05:03:06.076967
45,Samsung Galaxy S22 Ultra,Description of Samsung Galaxy S22 Ultra,SKU0045,98.74,776,8.89,DRAFT,3,5,3,1.88,109,https://example.com/thumb_45.jpg,https://example.com/images/product_45.jpg,1,23.48,2024-10-13 22:23:30.481919,2023-01-06 11:51:42.414211
46,Apple MacBook Air M2,Description of Apple MacBook Air M2,SKU0046,20.98,57,8.54,INACTIVE,5,17,3,2.69,962,https://example.com/thumb_46.jpg,https://example.com/images/product_46.jpg,0,20.61,2023-05-24 02:05:13.443603,2024-05-14 19:00:03.800750
47,HP Envy x360 Laptop,Description of HP Envy x360 Laptop,SKU0047,99.7,373,3.01,DRAFT,5,7,1,2.26,657,https://example.com/thumb_47.jpg,https://example.com/images/product_47.jpg,1,17.6,2024-05-11 17:29:10.510577,2024-11-04 16:21:08.383186
48,Dell XPS 13,Description of Dell XPS 13,SKU0048,76.76,169,9.39,ACTIVE,3,12,3,2.22,481,https://example.com/thumb_48.jpg,https://example.com/images/product_48.jpg,1,16.76,2024-12-10 02:40:20.203047,2024-12-27 04:09:12.074749
49,Logitech MX Master 3 Mouse,Description of Logitech MX Master 3 Mouse,SKU0049,77.61,598,1.81,INACTIVE,3,10,5,3.65,750,https://example.com/thumb_49.jpg,https://example.com/images/product_49.jpg,0,15.62,2023-10-18 18:53:59.860459,2024-05-15 05:35:11.911916
50,Razer BlackWidow Keyboard,Description of Razer BlackWidow Keyboard,SKU0050,17.47,196,3.94,DRAFT,1,14,3,4.44,641,https://example.com/thumb_50.jpg,https://example.com/images/product_50.jpg,1,29.62,2024-04-01 04:04:12.432859,2024-09-08 02:31:52.402233
51,ASUS ROG Strix GPU,Description of ASUS ROG Strix GPU,SKU0051,16.28,844,2.05,DRAFT,9,18,5,2.94,77,https://example.com/thumb_51.jpg,https://example.com/images/product_51.jpg,0,24.91,2023-02-14 21:00:53.266395,2023-08-16 02:48:41.177657
52,MSI Gaming Laptop,Description of MSI Gaming Laptop,SKU0052,43.63,459,7.78,DRAFT,10,1,4,1.92,401,https://example.com/thumb_52.jpg,https://example.com/images/product_52.jpg,0,27.11,2024-01-05 10:32:45.541164,2023-09-20 05:57:00.093561
53,Apple iPad Pro,Description of Apple iPad Pro,SKU0053,49.15,747,1.05,INACTIVE,3,9,5,3.05,773,https://example.com/thumb_53.jpg,https://example.com/images/product_53.jpg,1,8.81,2023-08-12 03:55:27.529014,2023-03-23 11:08:59.263691
54,Xiaomi Pad 5,Description of Xiaomi Pad 5,SKU0054,5.87,996,3.65,DRAFT,9,6,4,4.61,975,https://example.com/thumb_54.jpg,https://example.com/images/product_54.jpg,1,27.04,2023-04-10 12:13:04.417478,2024-12-14 17:07:39.904211
55,GoPro Hero11,Description of GoPro Hero11,SKU0055,83.87,362,8.7,DRAFT,3,3,2,4.29,998,https://example.com/thumb_55.jpg,https://example.com/images/product_55.jpg,1,3.32,2023-11-26 19:06:37.355780,2023-02-20 13:48:37.005108
56,DJI Mini 3 Drone,Description of DJI Mini 3 Drone,SKU0056,75.9,447,2.08,INACTIVE,7,3,1,1.27,517,https://example.com/thumb_56.jpg,https://example.com/images/product_56.jpg,1,22.2,2024-04-12 23:02:45.165049,2023-12-03 10:35:36.080089
57,Canon PIXMA Printer,Description of Canon PIXMA Printer,SKU0057,62.19,658,8.91,INACTIVE,10,7,1,1.1,72,https://example.com/thumb_57.jpg,https://example.com/images/product_57.jpg,1,18.86,2024-07-12 05:51:23.200583,2023-08-14 09:05:34.574675
58,OnePlus Nord CE 3 Lite,Description of OnePlus Nord CE 3 Lite,SKU0058,32.73,587,7.52,ACTIVE,6,16,4,1.27,871,https://example.com/thumb_58.jpg,https://example.com/images/product_58.jpg,0,22.4,2023-08-17 18:56:03.025256,2023-03-09 14:24:39.423437
59,Nike Air Max 270,Description of Nike Air Max 270,SKU0059,89.02,466,9.61,DRAFT,8,12,2,3.57,523,https://example.com/thumb_59.jpg,https://example.com/images/product_59.jpg,0,22.58,2024-05-26 13:38:50.355469,2023-07-07 09:05:13.284616
60,Adidas Ultraboost,Description of Adidas Ultraboost,SKU0060,31.33,362,3.34,INACTIVE,7,11,2,2.89,117,https://example.com/thumb_60.jpg,https://example.com/images/product_60.jpg,1,9.69,2023-01-26 23:21:16.859328,2023-04-02 06:51:50.907543
61,MAC Matte Lipstick,Description of MAC Matte Lipstick,SKU0061,86.69,462,6.04,DRAFT,5,8,3,4.7,485,https://example.com/thumb_61.jpg,https://example.com/images/product_61.jpg,0,20.36,2024-02-02 15:16:43.954316,2024-09-09 00:33:52.536369
62,Philips Blender,Description of Philips Blender,SKU0062,6.95,898,1.99,ACTIVE,7,4,5,1.63,720,https://example.com/thumb_62.jpg,https://example.com/images/product_62.jpg,0,1.46,2023-04-09 02:16:56.029144,2023-10-15 02:26:25.360306
63,KitchenAid Stand Mixer,Description of KitchenAid Stand Mixer,SKU0063,45.71,896,2.72,INACTIVE,8,5,3,1.49,168,https://example.com/thumb_63.jpg,https://example.com/images/product_63.jpg,0,16.28,2023-06-16 03:16:54.248454,2024-01-25 17:58:13.836661
64,LG Smart Fridge,Description of LG Smart Fridge,SKU0064,97.8,488,6.61,INACTIVE,6,20,2,4.22,411,https://example.com/thumb_64.jpg,https://example.com/images/product_64.jpg,0,2.8,2023-09-19 14:09:32.556436,2024-07-01 01:37:41.451330
65,Think and Grow Rich,Description of Think and Grow Rich,SKU0065,56.1,104,6.74,DRAFT,8,15,1,3.12,515,https://example.com/thumb_65.jpg,https://example.com/images/product_65.jpg,1,16.4,2023-10-26 11:58:48.411566,2024-11-28 10:10:21.190337
66,The Alchemist by Paulo Coelho,Description of The Alchemist by Paulo Coelho,SKU0066,71.61,283,6.04,DRAFT,9,13,3,4.52,243,https://example.com/thumb_66.jpg,https://example.com/images/product_66.jpg,1,11.54,2023-06-11 13:07:18.808259,2024-11-25 15:19:12.356856
67,Samsung Galaxy S22 Ultra,Description of Samsung Galaxy S22 Ultra,SKU0067,32.1,452,4.01,INACTIVE,4,10,1,1.88,418,https://example.com/thumb_67.jpg,https://example.com/images/product_67.jpg,0,27.48,2023-02-04 14:42:35.383683,2024-05-31 02:42:26.686696
68,Apple MacBook Air M2,Description of Apple MacBook Air M2,SKU0068,24.82,197,5.08,DRAFT,10,3,2,3.99,800,https://example.com/thumb_68.jpg,https://example.com/images/product_68.jpg,1,23.17,2024-12-17 15:32:03.346680,2024-08-27 07:03:33.941351
69,HP Envy x360 Laptop,Description of HP Envy x360 Laptop,SKU0069,13.82,794,7.26,INACTIVE,7,12,4,2.39,922,https://example.com/thumb_69.jpg,https://example.com/images/product_69.jpg,1,17.24,2024-02-28 16:49:26.613546,2023-06-17 21:02:19.638031
70,Dell XPS 13,Description of Dell XPS 13,SKU0070,79.65,788,8.56,DRAFT,6,9,2,2.81,597,https://example.com/thumb_70.jpg,https://example.com/images/product_70.jpg,1,29.98,2023-07-12 05:46:03.381506,2024-05-17 18:51:39.597480
71,Logitech MX Master 3 Mouse,Description of Logitech MX Master 3 Mouse,SKU0071,95.74,789,1.21,INACTIVE,1,17,4,3.66,931,https://example.com/thumb_71.jpg,https://example.com/images/product_71.jpg,0,16.5,2024-05-17 05:00:21.964278,2023-10-06 18:50:04.540145
72,Razer BlackWidow Keyboard,Description of Razer BlackWidow Keyboard,SKU0072,15.95,722,3.71,INACTIVE,3,1,3,1.33,818,https://example.com/thumb_72.jpg,https://example.com/images/product_72.jpg,0,22.6,2024-01-21 22:23:43.733292,2024-03-16 00:06:27.053306
73,ASUS ROG Strix GPU,Description of ASUS ROG Strix GPU,SKU0073,11.86,218,2.98,INACTIVE,8,13,4,2.95,944,https://example.com/thumb_73.jpg,https://example.com/images/product_73.jpg,0,26.5,2023-06-08 19:37:40.824402,2023-01-18 06:46:47.235236
74,MSI Gaming Laptop,Description of MSI Gaming Laptop,SKU0074,28.24,11,8.04,ACTIVE,6,7,4,2.75,950,https://example.com/thumb_74.jpg,https://example.com/images/product_74.jpg,0,3.56,2023-06-08 09:31:04.144436,2024-09-24 20:30:12.094355
75,Apple iPad Pro,Description of Apple iPad Pro,SKU0075,5.25,459,9.25,ACTIVE,4,2,3,2.55,871,https://example.com/thumb_75.jpg,https://example.com/images/product_75.jpg,0,9.96,2023-01-21 09:12:23.636634,2023-11-06 14:02:14.374073
76,Xiaomi Pad 5,Description of Xiaomi Pad 5,SKU0076,98.57,670,5.19,INACTIVE,4,8,5,2.67,424,https://example.com/thumb_76.jpg,https://example.com/images/product_76.jpg,0,18.73,2023-12-08 03:40:59.029032,2024-05-14 09:16:16.963772
77,GoPro Hero11,Description of GoPro Hero11,SKU0077,62.59,925,1.47,ACTIVE,5,5,3,4.29,859,https://example.com/thumb_77.jpg,https://example.com/images/product_77.jpg,1,5.06,2023-10-12 03:58:53.311406,2024-10-14 20:14:06.505291
78,DJI Mini 3 Drone,Description of DJI Mini 3 Drone,SKU0078,21.48,737,0.86,INACTIVE,8,15,2,1.96,790,https://example.com/thumb_78.jpg,https://example.com/images/product_78.jpg,0,16.24,2023-01-15 20:55:14.650437,2023-02-17 11:17:55.963812
79,Canon PIXMA Printer,Description of Canon PIXMA Printer,SKU0079,44.53,189,8.52,ACTIVE,8,11,3,3.63,731,https://example.com/thumb_79.jpg,https://example.com/images/product_79.jpg,0,14.37,2023-03-15 06:46:36.903713,2024-09-16 17:59:18.816103
80,OnePlus Nord CE 3 Lite,Description of OnePlus Nord CE 3 Lite,SKU0080,52.37,89,8.53,DRAFT,3,9,5,1.25,277,https://example.com/thumb_80.jpg,https://example.com/images/product_80.jpg,0,3.57,2024-01-22 04:31:51.969379,2023-10-05 05:03:13.296329
81,Nike Air Max 270,Description of Nike Air Max 270,SKU0081,17.36,336,1.29,ACTIVE,9,13,3,4.4,779,https://example.com/thumb_81.jpg,https://example.com/images/product_81.jpg,1,23.71,2024-11-03 05:06:17.005363,2024-05-04 22:18:02.481107
82,Adidas Ultraboost,Description of Adidas Ultraboost,SKU0082,75.54,573,8.02,INACTIVE,1,3,5,4.89,508,https://example.com/thumb_82.jpg,https://example.com/images/product_82.jpg,1,6.26,2024-02-11 19:59:00.155326,2023-07-03 14:01:08.646118
83,MAC Matte Lipstick,Description of MAC Matte Lipstick,SKU0083,55.23,143,9.9,ACTIVE,6,15,5,3.22,631,https://example.com/thumb_83.jpg,https://example.com/images/product_83.jpg,0,1.5,2024-12-28 17:44:52.891172,2023-12-26 08:23:37.083377
84,Philips Blender,Description of Philips Blender,SKU0084,40.53,685,6.57,ACTIVE,3,1,5,4.67,239,https://example.com/thumb_84.jpg,https://example.com/images/product_84.jpg,0,5.55,2023-11-05 15:16:41.573591,2023-04-10 23:54:12.143494
85,KitchenAid Stand Mixer,Description of KitchenAid Stand Mixer,SKU0085,8.16,483,8.69,INACTIVE,10,12,2,2.71,109,https://example.com/thumb_85.jpg,https://example.com/images/product_85.jpg,0,29.87,2023-06-19 07:57:55.100349,2023-06-09 12:37:09.172630
86,LG Smart Fridge,Description of LG Smart Fridge,SKU0086,46.84,57,7.57,ACTIVE,6,1,4,4.99,800,https://example.com/thumb_86.jpg,https://example.com/images/product_86.jpg,1,7.02,2023-12-02 13:16:01.789500,2023-03-31 13:24:31.698241
87,Think and Grow Rich,Description of Think and Grow Rich,SKU0087,24.87,54,3.64,DRAFT,8,4,1,1.54,78,https://example.com/thumb_87.jpg,https://example.com/images/product_87.jpg,1,14.73,2023-02-22 16:20:56.401535,2024-09-26 07:50:24.272357
88,The Alchemist by Paulo Coelho,Description of The Alchemist by Paulo Coelho,SKU0088,5.96,17,1.48,ACTIVE,4,20,4,2.59,520,https://example.com/thumb_88.jpg,https://example.com/images/product_88.jpg,0,4.83,2024-10-09 08:29:12.491624,2023-03-06 00:36:46.677451
89,Samsung Galaxy S22 Ultra,Description of Samsung Galaxy S22 Ultra,SKU0089,5.5,293,6.28,DRAFT,4,10,5,4.78,410,https://example.com/thumb_89.jpg,https://example.com/images/product_89.jpg,0,22.93,2023-09-03 14:01:59.985882,2024-08-15 08:15:15.108976
90,Apple MacBook Air M2,Description of Apple MacBook Air M2,SKU0090,88.38,270,3.54,ACTIVE,8,8,2,4.85,581,https://example.com/thumb_90.jpg,https://example.com/images/product_90.jpg,0,28.51,2023-02-15 02:38:10.943715,2024-12-28 19:32:26.002168
91,HP Envy x360 Laptop,Description of HP Envy x360 Laptop,SKU0091,34.1,277,7.75,ACTIVE,2,1,4,1.77,692,https://example.com/thumb_91.jpg,https://example.com/images/product_91.jpg,0,16.91,2023-03-14 15:01:25.947322,2023-06-10 13:33:45.903329
92,Dell XPS 13,Description of Dell XPS 13,SKU0092,93.37,813,0.59,DRAFT,1,7,4,4.75,73,https://example.com/thumb_92.jpg,https://example.com/images/product_92.jpg,0,15.53,2024-10-27 18:22:47.979857,2023-03-24 02:23:28.558377
93,Logitech MX Master 3 Mouse,Description of Logitech MX Master 3 Mouse,SKU0093,22.5,489,3.09,INACTIVE,2,8,5,3.91,110,https://example.com/thumb_93.jpg,https://example.com/images/product_93.jpg,1,7.02,2023-11-01 09:40:11.594201,2023-09-05 22:53:57.901450
94,Razer BlackWidow Keyboard,Description of Razer BlackWidow Keyboard,SKU0094,36.1,344,9.13,DRAFT,8,2,3,2.14,496,https://example.com/thumb_94.jpg,https://example.com/images/product_94.jpg,0,20.46,2024-09-11 20:17:41.177035,2024-08-08 16:16:19.978862
95,ASUS ROG Strix GPU,Description of ASUS ROG Strix GPU,SKU0095,74.51,561,4.7,ACTIVE,5,14,3,2.57,941,https://example.com/thumb_95.jpg,https://example.com/images/product_95.jpg,0,18.36,2024-04-09 21:24:22.597105,2024-07-10 02:31:43.273961
96,MSI Gaming Laptop,Description of MSI Gaming Laptop,SKU0096,50.92,107,9.32,INACTIVE,7,19,5,4.42,211,https://example.com/thumb_96.jpg,https://example.com/images/product_96.jpg,0,13.47,2024-07-17 13:23:38.806709,2024-11-04 21:08:33.164767
97,Apple iPad Pro,Description of Apple iPad Pro,SKU0097,66.7,236,8.55,INACTIVE,2,16,5,4.12,394,https://example.com/thumb_97.jpg,https://example.com/images/product_97.jpg,0,1.35,2024-03-03 05:43:53.276825,2023-11-22 04:43:10.290710
98,Xiaomi Pad 5,Description of Xiaomi Pad 5,SKU0098,89.03,737,1.1,ACTIVE,3,18,2,4.23,953,https://example.com/thumb_98.jpg,https://example.com/images/product_98.jpg,0,12.25,2023-12-19 02:27:15.925044,2024-02-06 10:10:58.170346
99,GoPro Hero11,Description of GoPro Hero11,SKU0099,86.64,890,4.69,ACTIVE,5,7,4,1.29,174,https://example.com/thumb_99.jpg,https://example.com/images/product_99.jpg,0,25.97,2024-08-24 21:43:00.883983,2023-12-20 23:52:43.623705
100,DJI Mini 3 Drone,Description of DJI Mini 3 Drone,SKU0100,83.99,958,4.8,DRAFT,3,4,1,4.33,176,https://example.com/thumb_100.jpg,https://example.com/images/product_100.jpg,0,19.7,2024-05-04 23:48:41.652083,2024-04-03 09:03:12.532160
101,Canon PIXMA Printer,Description of Canon PIXMA Printer,SKU0101,67.9,314,1.67,INACTIVE,5,14,3,1.01,371,https://example.com/thumb_101.jpg,https://example.com/images/product_101.jpg,0,2.47,2023-05-18 10:15:24.201257,2024-12-31 15:59:52.723105
102,OnePlus Nord CE 3 Lite,Description of OnePlus Nord CE 3 Lite,SKU0102,47.8,965,4.58,DRAFT,8,1,3,1.46,222,https://example.com/thumb_102.jpg,https://example.com/images/product_102.jpg,1,29.17,2023-03-24 20:11:43.957788,2024-12-10 19:47:53.933646
